ID,Slug,Name,Team
1630217,desmond-bane,Desmond Bane,MEM
1626164,devin-booker,Devin Booker,PHX
1629962,devin-cannady,Devin Cannady,ORL
1630170,devin-vassell,Devin Vassell,SAS
1629719,devontae-cacok,Devontae Cacok,SAS
1628984,devonte-graham,Devonte' Graham,NOP
203473,dewayne-dedmon,Dewayne Dedmon,MIA
1629712,didi-louzada,Didi Louzada,POR
1628415,dillon-brooks,Dillon Brooks,MEM
1627734,domantas-sabonis,Domantas Sabonis,SAC
1628378,donovan-mitchell,Donovan Mitchell,UTA
1627827,dorian-finney-smith,Dorian Finney-Smith,DAL
203926,doug-mcdermott,Doug McDermott,SAS
203110,draymond-green,Draymond Green,GSW
1630613,duane-washington,Duane Washington Jr.,IND
1629130,duncan-robinson,Duncan Robinson,MIA
2730,dwight-howard,Dwight Howard,LAL
203939,dwight-powell,Dwight Powell,DAL
1629685,dylan-windler,Dylan Windler,CLE
1630700,dyson-daniels,Dyson Daniels,NOP
1630604,ej-liddell,E.J. Liddell,NOP
202334,ed-davis,Ed Davis,CLE
203901,elfrid-payton,Elfrid Payton,PHX
1630190,elijah-hughes,Elijah Hughes,POR
202339,eric-bledsoe,Eric Bledsoe,POR
201569,eric-gordon,Eric Gordon,HOU
1629672,eric-paschall,Eric Paschall,UTA
1630647,eugene-omoruyi,Eugene Omoruyi,OKC
203095,evan-fournier,Evan Fournier,NYK
1630596,evan-mobley,Evan Mobley,CLE
1630267,facundo-campazzo,Facundo Campazzo,DEN
1630624,feron-hunt,Feron Hunt,NYK
1628402,frank-jackson,Frank Jackson,DET
1628373,frank-ntilikina,Frank Ntilikina,DAL
1630532,franz-wagner,Franz Wagner,ORL
1627832,fred-vanvleet,Fred VanVleet,TOR
1627788,furkan-korkmaz,Furkan Korkmaz,PHI
1629216,gabe-vincent,Gabe Vincent,MIA
1628221,gabe-york,Gabe York,IND
1630994,gabriel-lundberg,Gabriel Lundberg,PHX
1630629,gabriele-procida,Gabriele Procida,DET
202066,garrett-temple,Garrett Temple,NOP
1629726,garrison-mathews,Garrison Mathews,HOU
1629109,gary-clark,Gary Clark,NOP
203914,gary-harris,Gary Harris,ORL
1627780,gary-payton,Gary Payton II,POR
1629018,gary-trent,Gary Trent Jr.,TOR
201588,george-hill,George Hill,MIL
1627777,georges-niang,Georges Niang,PHI
203507,giannis-antetokounmpo,Giannis Antetokounmpo,MIL
1629048,goga-bitadze,Goga Bitadze,IND
201609,goran-dragic,Goran Dragic,BKN
202330,gordon-hayward,Gordon Hayward,CHA
203476,gorgui-dieng,Gorgui Dieng,ATL
1629684,grant-williams,Grant Williams,BOS
1628960,grayson-allen,Grayson Allen,MIL
1630535,greg-brown,Greg Brown III,POR
202328,greg-monroe,Greg Monroe,MIN
1630611,gui-santos,Gui Santos,GSW
1628977,hamidou-diallo,Hamidou Diallo,DET
203084,harrison-barnes,Harrison Barnes,SAC
202355,hassan-whiteside,Hassan Whiteside,UTA
1629312,haywood-highsmith,Haywood Highsmith,MIA
1630529,herbert-jones,Herbert Jones,NOP
1630656,hugo-besson,Hugo Besson,MIL
1629649,ignas-brazdeikis,Ignas Brazdeikis,ORL
1630193,immanuel-quickley,Immanuel Quickley,NYK
1629067,isaac-bonga,Isaac Bonga,TOR
1630171,isaac-okoro,Isaac Okoro,CLE
1628392,isaiah-hartenstein,Isaiah Hartenstein,LAC
1630543,isaiah-jackson,Isaiah Jackson,IND
1630198,isaiah-joe,Isaiah Joe,PHI
1630587,isaiah-livers,Isaiah Livers,DET
1630600,isaiah-mobley,Isaiah Mobley,CLE
1629676,isaiah-roby,Isaiah Roby,SAS
1630191,isaiah-stewart,Isaiah Stewart,DET
202738,isaiah-thomas,Isaiah Thomas,CHA
1630225,isaiah-todd,Isaiah Todd,WAS
202397,ish-smith,Ish Smith,DEN
1630688,ish-wainright,Ish Wainright,PHX
1631130,ismael-kamagate,Ismael Kamagate,DEN
1627826,ivica-zubac,Ivica Zubac,LAC
1631120,jd-davison,JD Davison,BOS
1630550,jt-thor,JT Thor,CHA
1629630,ja-morant,Ja Morant,MEM
203210,jamychal-green,JaMychal Green,OKC
201580,javale-mcgee,JaVale McGee,PHX
1631095,jabari-smith,Jabari Smith II,HOU
1631133,jabari-walker,Jabari Walker,POR
1630702,jaden-hardy,Jaden Hardy,DAL
1631093,jaden-ivey,Jaden Ivey,DET
1630183,jaden-mcdaniels,Jaden McDaniels,MIN
1630531,jaden-springer,Jaden Springer,PHI
203109,jae-crowder,Jae Crowder,PHX
1630256,jaesean-tate,Jae'Sean Tate,HOU
1631222,jake-laravia,Jake LaRavia,MEM
1627774,jake-layman,Jake Layman,MIN
1627751,jakob-poeltl,Jakob Poeltl,SAS
1628973,jalen-brunson,Jalen Brunson,DAL
1631105,jalen-duren,Jalen Duren,DET
1630224,jalen-green,Jalen Green,HOU
1630552,jalen-johnson,Jalen Johnson,ATL
1629667,jalen-mcdaniels,Jalen McDaniels,CHA
1630188,jalen-smith,Jalen Smith,IND
1630591,jalen-suggs,Jalen Suggs,ORL
1631114,jalen-williams,Jalen Williams,OKC
1627750,jamal-murray,Jamal Murray,DEN
1630547,james-bouknight,James Bouknight,CHA
201935,james-harden,James Harden,PHI
1630164,james-wiseman,James Wiseman,GSW
1630691,jamorko-pickett,Jamorko Pickett,DET
1630215,jared-butler,Jared Butler,UTA
1629607,jared-harper,Jared Harper,NOP
1628991,jaren-jackson,Jaren Jackson Jr.,MEM
1629020,jarred-vanderbilt,Jarred Vanderbilt,UTA
1628386,jarrett-allen,Jarrett Allen,CLE
1629633,jarrett-culver,Jarrett Culver,MEM
1630554,jason-preston,Jason Preston,LAC
1629750,javonte-green,Javonte Green,CHI
1630606,javonte-smart,Javonte Smart,MIA
1629637,jaxson-hayes,Jaxson Hayes,NOP
1630206,jay-scrubb,Jay Scrubb,LAC
1627759,jaylen-brown,Jaylen Brown,BOS
1629669,jaylen-nowell,Jaylen Nowell,MIN
1631119,jaylin-williams,Jaylin Williams,OKC
1628369,jayson-tatum,Jayson Tatum,BOS
201145,jeff-green,Jeff Green,DEN
203924,jerami-grant,Jerami Grant,POR
1630526,jeremiah-robinson-earl,Jeremiah Robinson-Earl,OKC
203087,jeremy-lamb,Jeremy Lamb,SAC
1631110,jeremy-sochan,Jeremy Sochan,SAS
1630579,jericho-sims,Jericho Sims,NYK
1628975,jevon-carter,Jevon Carter,MIL
202710,jimmy-butler,Jimmy Butler,MIA
1629111,jock-landale,Jock Landale,PHX
203925,joe-harris,Joe Harris,BKN
204060,joe-ingles,Joe Ingles,MIL
1630580,joe-wieskamp,Joe Wieskamp,SAS
203954,joel-embiid,Joel Embiid,PHI
1628381,john-collins,John Collins,ATL
1629723,john-konchar,John Konchar,MEM
1631098,johnny-davis,Johnny Davis,WAS
202685,jonas-valanciunas,Jonas Valanciunas,NOP
1628371,jonathan-isaac,Jonathan Isaac,ORL
1630228,jonathan-kuminga,Jonathan Kuminga,GSW
203903,jordan-clarkson,Jordan Clarkson,UTA
1629162,jordan-mclaughlin,Jordan McLaughlin,MIN
1629670,jordan-nwora,Jordan Nwora,MIL
1629673,jordan-poole,Jordan Poole,GSW
1630648,jordan-schakel,Jordan Schakel,WAS
1630631,jose-alvarado,Jose Alvarado,NOP
1630528,josh-christopher,Josh Christopher,HOU
1630581,josh-giddey,Josh Giddey,OKC
1630182,josh-green,Josh Green,DAL
1628404,josh-hart,Josh Hart,POR
1628367,josh-jackson,Josh Jackson,SAC
1631169,josh-minott,Josh Minott,MIN
1629006,josh-okogie,Josh Okogie,PHX
1626196,josh-richardson,Josh Richardson,SAS
1630563,joshua-primo,Joshua Primo,SAS
201950,jrue-holiday,Jrue Holiday,MIL
1629308,juan-toscano-anderson,Juan Toscano-Anderson,LAL
1630577,julian-champagnie,Julian Champagnie,PHI
203944,julius-randle,Julius Randle,NYK
1630551,justin-champagnie,Justin Champagnie,TOR
203200,justin-holiday,Justin Holiday,ATL
1626159,justise-winslow,Justise Winslow,POR
203994,jusuf-nurkic,Jusuf Nurkic,POR
1629752,juwan-morgan,Juwan Morgan,BOS
1630539,kai-jones,Kai Jones,CHA
1626157,karl-anthony-towns,Karl-Anthony Towns,MIN
1631255,karlo-matkovic,Karlo Matkovic,NOP
202695,kawhi-leonard,Kawhi Leonard,LAC
1631099,keegan-murray,Keegan Murray,SAC
1628966,keita-bates-diop,Keita Bates-Diop,SAS
1629640,keldon-johnson,Keldon Johnson,SAS
1629833,keljin-blevins,Keljin Blevins,POR
203482,kelly-olynyk,Kelly Olynyk,DET
1626162,kelly-oubre,Kelly Oubre Jr.,CHA
202689,kemba-walker,Kemba Walker,DET
1631112,kendall-brown,Kendall Brown,IND
1629134,kendrick-nunn,Kendrick Nunn,LAL
1631113,kennedy-chandler,Kennedy Chandler,MEM
1631254,kenneth-lofton,Kenneth Lofton Jr.,MEM
1629026,kenrich-williams,Kenrich Williams,OKC
203145,kent-bazemore,Kent Bazemore,LAL
203484,kentavious-caldwell-pope,Kentavious Caldwell-Pope,DEN
1630231,kenyon-martin,Kenyon Martin Jr.,HOU
1631165,keon-ellis,Keon Ellis,SAC
1630553,keon-johnson,Keon Johnson,POR
1630556,kessler-edwards,Kessler Edwards,BKN
201142,kevin-durant,Kevin Durant,BKN
1628989,kevin-huerter,Kevin Huerter,SAC
1628995,kevin-knox,Kevin Knox II,ATL
201567,kevin-love,Kevin Love,CLE
1629645,kevin-porter,Kevin Porter Jr.,HOU
1626172,kevon-looney,Kevon Looney,GSW
1631215,khalifa-diop,Khalifa Diop,CLE
203920,khem-birch,Khem Birch,TOR
203114,khris-middleton,Khris Middleton,MIL
1630165,killian-hayes,Killian Hayes,DET
1629681,killian-tillie,Killian Tillie,MEM
1630184,kira-lewis,Kira Lewis Jr.,NOP
202691,klay-thompson,Klay Thompson,GSW
204001,kristaps-porzingis,Kristaps Porzingis,WAS
203937,kyle-anderson,Kyle Anderson,MEM
1628398,kyle-kuzma,Kyle Kuzma,WAS
200768,kyle-lowry,Kyle Lowry,MIA
202681,kyrie-irving,Kyrie Irving,BKN
200746,lamarcus-aldridge,LaMarcus Aldridge,BKN
1630163,lamelo-ball,LaMelo Ball,CHA
1630205,lamar-stevens,Lamar Stevens,CLE
202362,lance-stephenson,Lance Stephenson,IND
1629013,landry-shamet,Landry Shamet,PHX
1626204,larry-nance,Larry Nance Jr.,NOP
1628374,lauri-markkanen,Lauri Markkanen,CLE
2544,lebron-james,LeBron James,LAL
1630195,leandro-bolmaro,Leandro Bolmaro,UTA
1631311,lester-quinones,Lester Quinones,GSW
1629623,lindell-wigginton,Lindell Wigginton,MIL
1630322,lindy-waters,Lindy Waters III,OKC
1629022,lonnie-walker,Lonnie Walker IV,LAL
1628366,lonzo-ball,Lonzo Ball,CHI
101150,lou-williams,Lou Williams,ATL
1629652,luguentz-dort,Luguentz Dort,OKC
1629029,luka-doncic,Luka Doncic,DAL
1630568,luka-garza,Luka Garza,DET
1628379,luke-kennard,Luke Kennard,LAC
1628436,luke-kornet,Luke Kornet,BOS
1631247,luke-travers,Luke Travers,CLE
1630644,mac-mcclung,Mac McClung,LAL
1630201,malachi-flynn,Malachi Flynn,TOR
1631103,malaki-branham,Malaki Branham,SAS
1627763,malcolm-brogdon,Malcolm Brogdon,IND
1630792,malcolm-hill,Malcolm Hill,CHI
1627736,malik-beasley,Malik Beasley,UTA
1630238,malik-fitts,Malik Fitts,BOS
1628370,malik-monk,Malik Monk,SAC
1630699,marjon-beauchamp,MarJon Beauchamp,MIL
202694,marcus-morris,Marcus Morris Sr.,LAC
203935,marcus-smart,Marcus Smart,BOS
1631109,mark-williams,Mark Williams,CHA
1628365,markelle-fultz,Markelle Fultz,ORL
202693,markieff-morris,Markieff Morris,MIA
1630250,marko-simonovic,Marko Simonovic,CHI
1630210,markus-howard,Markus Howard,DEN
1627737,marquese-chriss,Marquese Chriss,HOU
1628963,marvin-bagley,Marvin Bagley III,DET
1630222,mason-jones,Mason Jones,LAL
203486,mason-plumlee,Mason Plumlee,CHA
1629680,matisse-thybulle,Matisse Thybulle,PHI
1630346,matt-ryan,Matt Ryan,BOS
1629744,matt-thomas,Matt Thomas,CHI
1631164,matteo-spagnolo,Matteo Spagnolo,MIN
203090,maurice-harkless,Maurice Harkless,ATL
1631108,max-christie,Max Christie,LAL
1629622,max-strus,Max Strus,MIA
1628467,maxi-kleber,Maxi Kleber,DAL
1630593,mckinley-wright,McKinley Wright IV,MIN
1629008,michael-porter,Michael Porter Jr.,DEN
1628969,mikal-bridges,Mikal Bridges,PHX
201144,mike-conley,Mike Conley,UTA
203488,mike-muscala,Mike Muscala,OKC
1628970,miles-bridges,Miles Bridges,CHA
1630540,miles-mcbride,Miles McBride,NYK
1629011,mitchell-robinson,Mitchell Robinson,NYK
1628964,mo-bamba,Mo Bamba,ORL
1628420,monte-morris,Monte Morris,WAS
1626149,montrezl-harrell,Montrezl Harrell,CHA
1629021,moritz-wagner,Moritz Wagner,ORL
1629650,moses-brown,Moses Brown,CLE
1630541,moses-moody,Moses Moody,GSW
1630589,moses-wright,Moses Wright,DAL
1631217,moussa-diabate,Moussa Diabate,LAC
1628539,mychal-mulder,Mychal Mulder,MIA
1629619,myles-powell,Myles Powell,PHI
1626167,myles-turner,Myles Turner,IND
1630230,naji-marshall,Naji Marshall,NOP
1629642,nassir-little,Nassir Little,POR
1630207,nate-hinton,Nate Hinton,IND
1630233,nathan-knight,Nathan Knight,MIN
1629675,naz-reid,Naz Reid,MIN
1629674,neemias-queta,Neemias Queta,SAC
202357,nemanja-bjelica,Nemanja Bjelica,GSW
203457,nerlens-noel,Nerlens Noel,NYK
1629651,nic-claxton,Nic Claxton,BKN
1630208,nick-richards,Nick Richards,CHA
1629638,nickeil-alexander-walker,Nickeil Alexander-Walker,UTA
201587,nicolas-batum,Nicolas Batum,LAC
203917,nik-stauskas,Nik Stauskas,BOS
203999,nikola-jokic,Nikola Jokic,DEN
1631107,nikola-jovic,Nikola Jovic,MIA
202696,nikola-vucevic,Nikola Vucevic,CHI
1626181,norman-powell,Norman Powell,LAC
1628384,og-anunoby,OG Anunoby,TOR
1630167,obi-toppin,Obi Toppin,NYK
1630534,ochai-agbaji,Ochai Agbaji,CLE
1630209,omer-yurtseven,Omer Yurtseven,MIA
1630168,onyeka-okongwu,Onyeka Okongwu,ATL
1629052,oshae-brissett,Oshae Brissett,IND
203490,otto-porter,Otto Porter Jr.,TOR
1631172,ousmane-dieng,Ousmane Dieng,OKC
200782,pj-tucker,P.J. Tucker,PHI
1629023,pj-washington,P.J. Washington,CHA
1631094,paolo-banchero,Paolo Banchero,ORL
1627783,pascal-siakam,Pascal Siakam,TOR
1626192,pat-connaughton,Pat Connaughton,MIL
1631116,patrick-baldwin,Patrick Baldwin Jr.,GSW
201976,patrick-beverley,Patrick Beverley,UTA
1630172,patrick-williams,Patrick Williams,CHI
201988,patty-mills,Patty Mills,BKN
202331,paul-george,Paul George,LAC
200794,paul-millsap,Paul Millsap,PHI
1630194,paul-reed,Paul Reed,PHI
1630202,payton-pritchard,Payton Pritchard,BOS
1631212,peyton-watson,Peyton Watson,DEN
1630173,precious-achiuwa,Precious Achiuwa,TOR
1629656,quentin-grimes,Quentin Grimes,NYK
1629683,quinndary-weatherspoon,Quinndary Weatherspoon,GSW
1630181,rj-hampton,R.J. Hampton,ORL
1629628,rj-barrett,RJ Barrett,NYK
1630612,rj-nembhard,RJ Nembhard Jr.,CLE
200765,rajon-rondo,Rajon Rondo,CLE
203526,raul-neto,Raul Neto,WAS
203493,reggie-bullock,Reggie Bullock,DAL
202704,reggie-jackson,Reggie Jackson,LAC
1626158,richaun-holmes,Richaun Holmes,SAC
201937,ricky-rubio,Ricky Rubio,IND
203496,robert-covington,Robert Covington,LAC
1629057,robert-williams,Robert Williams III,BOS
1630218,robert-woodard,Robert Woodard II,SAS
201577,robin-lopez,Robin Lopez,ORL
203918,rodney-hood,Rodney Hood,LAC
203585,rodney-mcgruder,Rodney McGruder,DET
1629641,romeo-langford,Romeo Langford,SAS
1626220,royce-oneale,Royce O'Neale,BKN
200752,rudy-gay,Rudy Gay,UTA
203497,rudy-gobert,Rudy Gobert,MIN
1629060,rui-hachimura,Rui Hachimura,WAS
201566,russell-westbrook,Russell Westbrook,LAL
1627853,ryan-arcidiacono,Ryan Arcidiacono,NYK
1631157,ryan-rollins,Ryan Rollins,GSW
1630240,saben-lee,Saben Lee,DET
1630180,saddiq-bey,Saddiq Bey,DET
