ID,Name,Team
1631100,AJ Griffin,ATL
201933,Blake Griffin,BKN
1629656,Quentin Grimes,NYK
1629060,Rui Hachimura,WAS
1630169,Tyrese Haliburton,IND
1630181,R.J. Hampton,ORL
203501,Tim Hardaway Jr.,DAL
201935,James Harden,PHI
1630702,Jaden Hardy,DAL
203090,Maurice Harkless,SAC
1629607,Jared Harper,NOP
1626149,Montrezl Harrell,CHA
203914,Gary Harris,ORL
203925,Joe Harris,BKN
202699,Tobias Harris,PHI
1628404,Josh Hart,POR
1628392,Isaiah Hartenstein,LAC
2617,Udonis Haslem,MIA
1630573,Sam Hauser,BOS
1629637,Jaxson Hayes,NOP
1630165,Killian Hayes,DET
202330,Gordon Hayward,CHA
1626195,Willy Hernangomez,NOP
1629639,Tyler Herro,MIA
1627741,Buddy Hield,IND
1629312,Haywood Highsmith,MIA
201588,George Hill,MIL
1630792,Malcolm Hill,CHI
1630207,Nate Hinton,IND
1628988,Aaron Holiday,PHX
201950,Jrue Holiday,MIL
203200,Justin Holiday,SAC
1626158,Richaun Holmes,SAC
1631096,Chet Holmgren,OKC
203918,Rodney Hood,LAC
201143,Al Horford,BOS
1629659,Talen Horton-Tucker,LAL
1627863,Danuel House Jr.,UTA
1631216,Caleb Houstan,ORL
2730,Dwight Howard,LAL
1630210,Markus Howard,DEN
1631309,Trevor Hudgins,HOU
1628989,Kevin Huerter,ATL
1630190,Elijah Hughes,POR
1630624,Feron Hunt,NYK
1629631,De'Andre Hunter,ATL
1630538,Bones Hyland,DEN
201586,Serge Ibaka,MIL
2738,Andre Iguodala,GSW
204060,Joe Ingles,POR
1627742,Brandon Ingram,NOP
202681,Kyrie Irving,BKN
1628371,Jonathan Isaac,ORL
1631093,Jaden Ivey,DET
1628402,Frank Jackson,DET
1630543,Isaiah Jackson,IND
1628367,Josh Jackson,SAC
202704,Reggie Jackson,LAC
1628991,Jaren Jackson Jr.,MEM
2544,LeBron James,LAL
1629660,Ty Jerome,OKC
1630198,Isaiah Joe,PHI
1629661,Cameron Johnson,PHX
1630525,David Johnson,TOR
1630552,Jalen Johnson,ATL
1629640,Keldon Johnson,SAS
1630553,Keon Johnson,POR
1626169,Stanley Johnson,LAL
203999,Nikola Jokic,DEN
1627745,Damian Jones,LAL
1630529,Herbert Jones,NOP
1630539,Kai Jones,CHA
1630222,Mason Jones,LAL
1630200,Tre Jones,SAS
1626145,Tyus Jones,MEM
1627884,Derrick Jones Jr.,CHI
201599,DeAndre Jordan,PHI
202709,Cory Joseph,DET
1631107,Nikola Jovic,MIA
1631130,Ismael Kamagate,DET
1631211,Trevor Keels,NYK
1628379,Luke Kennard,LAC
1631117,Walker Kessler,MIN
1630296,Braxton Key,DET
1630557,Corey Kispert,WAS
1628467,Maxi Kleber,DAL
1630233,Nathan Knight,MIN
1628995,Kevin Knox II,ATL
1631132,Christian Koloko,TOR
1629723,John Konchar,MEM
1627788,Furkan Korkmaz,PHI
1628436,Luke Kornet,BOS
1630249,Vit Krejci,OKC
1629083,Arnoldas Kulboka,CHA
1630228,Jonathan Kuminga,GSW
1628398,Kyle Kuzma,WAS
1631222,Jake LaRavia,MEM
203897,Zach LaVine,CHI
1630237,Anthony Lamb,HOU
203087,Jeremy Lamb,SAC
1629111,Jock Landale,ATL
1629641,Romeo Langford,SAS
1627774,Jake Layman,MIN
1627747,Caris LeVert,CLE
1627814,Damion Lee,PHX
1630240,Saben Lee,DET
203458,Alex Len,SAC
202695,Kawhi Leonard,LAC
1630575,Scottie Lewis,CHA
1630184,Kira Lewis Jr.,NOP
1630604,E.J. Liddell,NOP
203081,Damian Lillard,POR
1629642,Nassir Little,POR
1630587,Isaiah Livers,DET
1631254,Kenneth Lofton Jr.,MEM
1626172,Kevon Looney,GSW
201572,Brook Lopez,MIL
201577,Robin Lopez,ORL
1629712,Didi Louzada,POR
201567,Kevin Love,CLE
200768,Kyle Lowry,MIA
1630994,Gabriel Lundberg,PHX
1627789,Timothe Luwawu-Cabarrot,ATL
1626168,Trey Lyles,SAC
1630177,Theo Maledon,OKC
1630572,Sandro Mamukelashvili,MIL
1629611,Terance Mann,LAC
1630544,Tre Mann,OKC
1626246,Boban Marjanovic,HOU
1628374,Lauri Markkanen,CLE
1630230,Naji Marshall,NOP
1628997,Caleb Martin,MIA
1628998,Cody Martin,CHA
1631213,Tyrese Martin,ATL
1630231,Kenyon Martin Jr.,HOU
1629726,Garrison Mathews,HOU
1631097,Bennedict Mathurin,IND
1631255,Karlo Matkovic,NOP
202083,Wesley Matthews,MIL
1630178,Tyrese Maxey,PHI
1630219,Skylar Mays,ATL
1630540,Miles McBride,NYK
1630644,Mac McClung,LAL
203468,CJ McCollum,NOP
204456,T.J. McConnell,IND
1630183,Jaden McDaniels,MIN
1629667,Jalen McDaniels,CHA
203926,Doug McDermott,SAS
201580,JaVale McGee,PHX
1631121,Bryce McGowens,CHA
203585,Rodney McGruder,DET
1629162,Jordan McLaughlin,MIN
203463,Ben McLemore,POR
1629001,De'Anthony Melton,PHI
1629002,Chimezie Metu,SAC
203114,Khris Middleton,MIL
201988,Patty Mills,BKN
200794,Paul Millsap,PHI
1629003,Shake Milton,PHI
1631169,Josh Minott,MIN
1630558,Davion Mitchell,SAC
1628378,Donovan Mitchell,UTA
1630596,Evan Mobley,CLE
1630600,Isaiah Mobley,CLE
1628370,Malik Monk,LAL
202328,Greg Monroe,MIN
1630541,Moses Moody,GSW
1629875,Xavier Moon,LAC
1631111,Wendell Moore Jr.,MIN
1629630,Ja Morant,MEM
1629752,Juwan Morgan,BOS
202693,Markieff Morris,MIA
1628420,Monte Morris,DEN
202694,Marcus Morris Sr.,LAC
1628539,Mychal Mulder,MIA
1630530,Trey Murphy III,NOP
1627749,Dejounte Murray,ATL
1627750,Jamal Murray,DEN
1631099,Keegan Murray,SAC
203488,Mike Muscala,OKC
1629004,Svi Mykhailiuk,TOR
1626204,Larry Nance Jr.,NOP
1629614,Andrew Nembhard,IND
1630612,RJ Nembhard Jr.,CLE
1630174,Aaron Nesmith,BOS
203526,Raul Neto,WAS
1627777,Georges Niang,PHI
1630227,Daishen Nix,HOU
1630192,Zeke Nnaji,DEN
203457,Nerlens Noel,NYK
1629669,Jaylen Nowell,MIN
1628373,Frank Ntilikina,DAL
1629134,Kendrick Nunn,LAL
203994,Jusuf Nurkic,POR
1628021,David Nwaba,HOU
1629670,Jordan Nwora,MIL
1631161,Yannick Nzosa,WAS
1626220,Royce O'Neale,BKN
1629643,Chuma Okeke,ORL
1629006,Josh Okogie,PHX
1630168,Onyeka Okongwu,ATL
1630171,Isaac Okoro,CLE
203506,Victor Oladipo,MIA
203482,Kelly Olynyk,DET
1630647,Eugene Omoruyi,OKC
1626224,Cedi Osman,CLE
1626162,Kelly Oubre Jr.,CHA
1629672,Eric Paschall,UTA
101108,Chris Paul,PHX
1626166,Cameron Payne,PHX
203901,Elfrid Payton,PHX
1627780,Gary Payton II,GSW
1630691,Jamorko Pickett,DET
1629033,Theo Pinson,DAL
1630590,Scotty Pippen Jr.,LAL
203486,Mason Plumlee,CHA
1627751,Jakob Poeltl,SAS
1630197,Alekesej Pokusevski,OKC
1630582,Yves Pons,MEM
1629673,Jordan Poole,GSW
1629645,Kevin Porter Jr.,HOU
1629008,Michael Porter Jr.,DEN
203490,Otto Porter Jr.,GSW
1626171,Bobby Portis,MIL
204001,Kristaps Porzingis,WAS
203939,Dwight Powell,DAL
1629619,Myles Powell,PHI
1626181,Norman Powell,LAC
1630554,Jason Preston,LAC
1630563,Joshua Primo,SAS
1627752,Taurean Prince,MIN
1630202,Payton Pritchard,BOS
1630629,Gabriele Procida,POR
1630243,Trevelin Queen,PHI
1629674,Neemias Queta,SAC
1630193,Immanuel Quickley,NYK
1631311,Lester Quinones,GSW
203944,Julius Randle,NYK
1630559,Austin Reaves,LAL
1629629,Cam Reddish,NYK
1628432,Davon Reed,DEN
1630194,Paul Reed,PHI
1629675,Naz Reid,MIN
1630208,Nick Richards,CHA
1626196,Josh Richardson,SAS
203085,Austin Rivers,DEN
1629130,Duncan Robinson,MIA
1629011,Mitchell Robinson,NYK
1630526,Jeremiah Robinson-Earl,OKC
1629676,Isaiah Roby,SAS
1631223,David Roddy,MEM
1631157,Ryan Rollins,GSW
200765,Rajon Rondo,CLE
201565,Derrick Rose,NYK
203082,Terrence Ross,ORL
1626179,Terry Rozier,CHA
201937,Ricky Rubio,IND
1626156,D'Angelo Russell,MIN
1630346,Matt Ryan,BOS
1627734,Domantas Sabonis,SAC
1630611,Gui Santos,GSW
203967,Dario Saric,PHX
203107,Tomas Satoransky,WAS
1630648,Jordan Schakel,WAS
1629678,Admiral Schofield,ORL
203471,Dennis Schroder,HOU
1630206,Jay Scrubb,LAC
1630578,Alperen Sengun,HOU
1629012,Collin Sexton,CLE
1629013,Landry Shamet,PHX
1630549,Day'Ron Sharpe,BKN
1631101,Shaedon Sharpe,POR
1627783,Pascal Siakam,TOR
1627732,Ben Simmons,BKN
1630250,Marko Simonovic,CHI
1629014,Anfernee Simons,POR
1630579,Jericho Sims,NYK
1630606,Javonte Smart,MIA
203935,Marcus Smart,BOS
202397,Ish Smith,WAS
1630188,Jalen Smith,IND
1631095,Jabari Smith Jr.,HOU
1630270,Xavier Sneed,UTA
203503,Tony Snell,NOP
1631110,Jeremy Sochan,SAS
1631164,Matteo Spagnolo,MIN
1630531,Jaden Springer,PHI
203917,Nik Stauskas,BOS
202362,Lance Stephenson,IND
1630205,Lamar Stevens,CLE
1630597,DJ Stewart,SAS
1630191,Isaiah Stewart,DET
1629622,Max Strus,MIA
1630591,Jalen Suggs,ORL
1631306,Cole Swider,LAL
1630256,Jae'Sean Tate,HOU
1628369,Jayson Tatum,BOS
1630678,Terry Taylor,IND
202066,Garrett Temple,NOP
1631207,Dalen Terry,CHI
1628464,Daniel Theis,BOS
1630271,Brodric Thomas,BOS
1630560,Cam Thomas,BKN
202738,Isaiah Thomas,CHA
1629744,Matt Thomas,CHI
202691,Klay Thompson,GSW
202684,Tristan Thompson,CHI
1630550,JT Thor,CHA
1629680,Matisse Thybulle,PHI
1629681,Killian Tillie,MEM
1630214,Xavier Tillman Sr.,MEM
1630225,Isaiah Todd,WAS
1630167,Obi Toppin,NYK
1629308,Juan Toscano-Anderson,LAL
1626157,Karl-Anthony Towns,MIN
1631247,Luke Travers,CLE
1629018,Gary Trent Jr.,TOR
200782,P.J. Tucker,MIA
1626167,Myles Turner,IND
202685,Jonas Valanciunas,NOP
1627832,Fred VanVleet,TOR
1629020,Jarred Vanderbilt,MIN
1630170,Devin Vassell,SAS
1629216,Gabe Vincent,MIA
202696,Nikola Vucevic,CHI
1629731,Dean Wade,CLE
1630532,Franz Wagner,ORL
1629021,Moritz Wagner,ORL
1630688,Ish Wainright,PHX
1631133,Jabari Walker,POR
202689,Kemba Walker,NYK
1629022,Lonnie Walker IV,SAS
203933,T.J. Warren,IND
1629023,P.J. Washington,CHA
1630613,Duane Washington Jr.,IND
1631102,TyTy Washington Jr.,HOU
1629139,Yuta Watanabe,TOR
1630322,Lindy Waters III,OKC
1630570,Trendon Watford,POR
1631212,Peyton Watson,DEN
1629683,Quinndary Weatherspoon,GSW
1631104,Blake Wesley,SAS
201566,Russell Westbrook,LAL
1629632,Coby White,CHI
1628401,Derrick White,BOS
